p1,p2,pair_orders
Bag of Organic Bananas,Organic Hass Avocado,62341
Bag of Organic Bananas,Organic Strawberries,61628
Organic Strawberries,Banana,56156
Banana,Organic Avocado,53395
Organic Baby Spinach,Banana,51395
Bag of Organic Bananas,Organic Baby Spinach,50372
Strawberries,Banana,41232
Banana,Large Lemon,40880
Organic Strawberries,Organic Hass Avocado,40794
Bag of Organic Bananas,Organic Raspberries,40503
Organic Strawberries,Organic Baby Spinach,38134
Organic Baby Spinach,Organic Hass Avocado,34901
Banana,Organic Fuji Apple,33943
Organic Strawberries,Organic Raspberries,33863
Banana,Cucumber Kirby,32097
Banana,Limes,31772
Banana,Organic Whole Milk,31641
Banana,Organic Hass Avocado,31222
Organic Baby Spinach,Organic Avocado,30889
Banana,Honeycrisp Apple,28408
